id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,name,postalCode,province,reviews.date,reviews.dateAdded,reviews.dateSeen,reviews.rating,reviews.text,reviews.title,reviews.userCity,reviews.userProvince,reviews.username
AWE2FvX5RxPSIh2RscTK,2018-01-18T18:43:12Z,2019-05-20T23:55:47Z,5620 Calle Real,"Hotels,Hotels and motels,Hotel and motel mgmt.,Lodging,Hotels Motels,Hotel",Accommodation & Food Services,Goleta,US,us/ca/goleta/5620callereal/-1127060008,34.44178,-119.81979,Best Western Plus South Coast Inn,93117,CA,2018-01-01T00:00:00.000Z,,2018-01-03T00:00:00Z,3,,Best Western Plus Hotel,San Jose,UnitedStates,tatsurok2018
AVwcj_OhkufWRAb5wi9T,2016-11-06T20:21:05Z,2019-05-20T23:31:56Z,5th And San Carlos PO Box 3574,"Hotels,Lodging,Hotel",Accommodation & Food Services,Carmel by the Sea,US,us/ca/carmelbythesea/5thandsancarlospobox3574/50035798,36.55722,-121.92194,Best Western Carmel's Town House Lodge,93921,CA,2016-04-02T00:00:00Z,,2016-10-09T00:00:00Z,4,,Clean rooms at solid rates in the heart of Carmel,San Francisco,CA,STEPHEN N
AVwcj_OhkufWRAb5wi9T,2016-11-06T20:21:05Z,2019-05-20T23:31:56Z,5th And San Carlos PO Box 3574,"Hotels,Lodging,Hotel",Accommodation & Food Services,Carmel by the Sea,US,us/ca/carmelbythesea/5thandsancarlospobox3574/50035798,36.55722,-121.92194,Best Western Carmel's Town House Lodge,93921,CA,2016-01-06T00:00:00Z,,2016-10-09T00:00:00Z,3,,Business,Prescott Valley,AZ,15Deborah
AVwcj_OhkufWRAb5wi9T,2016-11-06T20:21:05Z,2019-05-20T23:31:56Z,5th And San Carlos PO Box 3574,"Hotels,Lodging,Hotel",Accommodation & Food Services,Carmel by the Sea,US,us/ca/carmelbythesea/5thandsancarlospobox3574/50035798,36.55722,-121.92194,Best Western Carmel's Town House Lodge,93921,CA,2016-08-22T00:00:00Z,,2016-10-31T00:00:00Z,5,,Very good,Guaynabo,PR,Wilfredo M
AVwcj_OhkufWRAb5wi9T,2016-11-06T20:21:05Z,2019-05-20T23:31:56Z,5th And San Carlos PO Box 3574,"Hotels,Lodging,Hotel",Accommodation & Food Services,Carmel by the Sea,US,us/ca/carmelbythesea/5thandsancarlospobox3574/50035798,36.55722,-121.92194,Best Western Carmel's Town House Lodge,93921,CA,2016-03-21T00:00:00Z,,"2016-10-09T00:00:00Z,2016-03-27T00:00:00Z",2,,Low chance to come back here,Reno,NV,Luc D
AVweLARAByjofQCxv5vX,2016-05-16T22:39:30Z,2019-05-20T23:28:44Z,167 W Main St,"Hotels,Hotels and motels,Hotel,Restaurants",Accommodation & Food Services,Lexington,US,us/ky/lexington/167wmainst/-1165617038,38.047014,-84.497742,21c Museum Hotel Lexington,40507,KY,2016-03-15T00:00:00Z,,2016-03-19T00:00:00Z,4,,Loved staying here,Nashville,TN,LKDiScenza
AVweLARAByjofQCxv5vX,2016-05-16T22:39:30Z,2019-05-20T23:28:44Z,167 W Main St,"Hotels,Hotels and motels,Hotel,Restaurants",Accommodation & Food Services,Lexington,US,us/ky/lexington/167wmainst/-1165617038,38.047014,-84.497742,21c Museum Hotel Lexington,40507,KY,2016-04-18T00:00:00Z,,2016-05-10T00:00:00Z,1,,Does not live up to its reputation,Charlotte,NC,GGTravels2016
AV1thAoL3-Khe5l_Ott5,2017-07-23T03:35:56Z,2019-05-20T23:28:32Z,115 W Steve Wariner Dr,"Hotels and motels,Hotel",Accommodation & Food Services,Russell Springs,US,us/ky/russellsprings/115wstevewarinerdr/-411694349,37.065296,-85.07358,Springs Motel LLC,42642,KY,2015-08-13T00:00:00.000Z,,"2017-12-17T00:00:00Z,2017-07-13T00:00:00Z",1,,worst customer service ever,Hanceville,Alabama,madaramapquest
AVz6h4Sb3D1zeR_xDHsu,2017-06-30T19:43:24Z,2019-05-20T23:27:06Z,2240 Buena Vista Rd,"Budget Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels,Hotel",Accommodation & Food Services,Lexington,US,us/ky/lexington/2240buenavistard/-659606824,38.0421,-84.4271,Microtel Inn Suites By Wyndham Lexington,40505,KY,2017-06-15T00:00:00.000Z,,2017-06-26T00:00:00Z,5,,Location Location Location,Jeffersonville,Indiana,IUMIKECOO
AVwdo6WHByjofQCxrGaj,2016-11-02T17:23:39Z,2019-05-20T23:26:47Z,1107 N Main St,"Hotels,Bed Breakfasts,Bed & Breakfasts,Hotels and motels,Lodging,Hotels Motels,travel,Motels,Hotels & Motels,Hotel",Accommodation & Food Services,Hopkinsville,US,us/ky/hopkinsville/1107nmainst/-1877262391,36.889,-87.4813,American Inn,42240,KY,2014-07-15T00:00:00Z,,"2016-03-19T00:00:00Z,2016-05-10T00:00:00Z,2016-07-18T00:00:00Z",1,,The worst place i've booked,Lawton,OK,johnnytuba
